epoch,gen_loss,disc_loss,time_consumed
0,7.5254096985,0.2413215637,19.80
1,9.0622453690,0.1567285806,18.11
2,6.6222095490,0.2327678800,16.79
3,9.1338491440,0.0724287704,17.49
4,6.7641606331,0.0908472687,17.76
5,6.8602252007,0.0817356557,17.51
6,7.4646215439,0.0256676730,16.88
7,7.9056911469,0.0392923020,18.54
8,7.2947239876,0.0310737677,18.27
9,7.6623768806,0.0014089595,17.42
10,7.9520597458,0.0008504129,17.91
11,8.9116649628,0.0008859191,17.33
12,9.3448238373,0.0003127107,18.05
13,9.9482288361,0.0001618179,17.32
14,10.0998249054,0.0001081307,17.33
15,10.0230464935,0.0000967752,17.68
16,9.7930068970,0.0000899546,17.12
17,10.7269697189,0.0003678083,17.74
18,9.1054267883,0.0444023013,16.61
19,9.5000066757,0.0398261026,17.43
20,8.7728767395,0.0027290939,17.18
21,9.1980648041,0.0002326759,16.59
22,9.1853141785,0.0123018827,18.50
23,9.0206193924,0.0002163735,16.51
24,9.5499992371,0.0269519277,16.78
25,7.7142028809,0.0552386828,17.84
26,8.8272790909,0.0004383758,16.68
27,9.0243406296,0.0002886448,17.23
28,10.0395669937,0.0228439812,17.64
29,9.7700119019,0.0002943152,16.59
30,9.7119541168,0.0351030305,17.89
31,10.4839687347,0.0002677963,16.47
32,10.8593006134,0.0001250667,16.63
33,11.3182764053,0.0000770871,18.79
34,11.5364761353,0.0000499681,16.86
35,11.6154575348,0.0000347954,16.47
36,11.7431383133,0.0000276866,16.59
37,11.3355121613,0.0000324875,16.86
38,11.4119176865,0.0000235025,17.17
39,11.9209775925,0.0000150870,17.56
40,12.2162513733,0.0000116106,17.80
41,12.4122676849,0.0000096993,16.91
42,12.4705696106,0.0000081921,17.15
43,12.7030248642,0.0000065301,16.86
44,12.9149646759,0.0000052053,17.33
45,13.3028869629,0.0000180303,16.62
46,13.0639972687,0.0000099460,17.47
47,13.3511104584,0.0000039893,17.61
48,13.4042892456,0.0000031078,17.19
49,13.5355091095,0.0000025313,17.63
