epoch,vae_loss,disc_loss,time_consumed
100,6613.3393554688,0.2428237051,33.44
101,6705.5205078125,0.0771390945,33.38
102,6758.4057617188,0.0756386071,33.34
103,6785.1811523438,0.0775945857,33.35
104,6799.3593750000,0.1132188812,33.24
105,6821.5751953125,0.0794434473,33.24
106,6838.7368164062,0.1005601510,33.29
107,6822.8881835938,0.1328770071,33.29
108,6848.9980468750,0.1105497032,33.42
109,6846.7285156250,0.1150632054,33.90
110,6865.7006835938,0.1151183397,33.98
111,6879.3613281250,0.1019215882,34.07
112,6878.7651367188,0.1834816039,33.96
113,6862.3149414062,0.1036898717,33.93
114,6884.0703125000,0.1278972775,33.91
115,6894.4750976562,0.1158367991,33.92
116,6902.3750000000,0.1473427415,33.51
117,6901.3789062500,0.1567499489,33.24
118,6903.2690429688,0.1374828517,33.32
119,6902.7553710938,0.1308415681,33.33
120,6909.3896484375,0.1514287293,33.31
121,6916.0229492188,0.1449745297,33.20
122,6910.9619140625,0.1437812597,33.27
123,6921.2167968750,0.1300209612,33.25
124,6924.6879882812,0.1446337104,33.39
125,6919.1757812500,0.1256585866,33.38
126,6932.0888671875,0.1509015560,33.58
127,6924.0166015625,0.1384461969,33.96
128,6929.4252929688,0.1633617580,34.02
129,6936.0371093750,0.1216122359,33.99
130,6941.7934570312,0.1332051307,33.97
131,6922.7646484375,0.1646735817,34.00
132,6948.8051757812,0.1774354428,33.85
133,6928.0087890625,0.1274362355,33.33
134,6940.4174804688,0.1510652304,33.33
135,6932.3237304688,0.1582673043,33.34
136,6930.3896484375,0.1207287833,33.32
137,6945.3945312500,0.1552790254,33.29
138,6947.5390625000,0.1477082670,33.25
139,6934.9301757812,0.1569447219,33.30
140,6947.5214843750,0.1285049021,33.35
141,6949.1738281250,0.1465637833,33.32
142,6943.2333984375,0.1708123982,33.31
143,6936.9028320312,0.1330161244,33.29
144,6941.4863281250,0.1264691949,33.67
145,6945.7006835938,0.1261489391,34.11
146,6944.5878906250,0.1822692454,33.95
147,6941.3374023438,0.1491855234,33.99
148,6940.6650390625,0.1137764454,33.95
149,6957.7753906250,0.1547956020,33.89
150,6950.2705078125,0.1481046677,34.00
151,6950.1650390625,0.1395181715,33.95
152,6948.0981445312,0.1731124520,33.49
153,6947.1816406250,0.1321739405,33.37
154,6959.7426757812,0.1632239521,33.33
155,6950.0869140625,0.1174252853,33.32
156,6959.5146484375,0.1671413779,33.27
157,6954.4135742188,0.1228870824,33.23
158,6963.6909179688,0.1404632032,33.29
159,6957.0292968750,0.1626704335,33.26
160,6959.7099609375,0.1300238222,33.38
161,6955.0415039062,0.1533824950,33.46
162,6954.4287109375,0.1284306347,33.76
163,6953.6103515625,0.1172898710,34.00
164,6962.8745117188,0.1716989577,33.99
165,6954.8676757812,0.1396177560,34.03
166,6951.7636718750,0.1393234283,33.90
167,6958.0473632812,0.1213580668,33.94
168,6957.0849609375,0.1461056024,33.93
169,6953.5000000000,0.1176618412,33.56
170,6960.6494140625,0.1089754775,33.32
171,6957.1713867188,0.1380415410,33.32
172,6960.8964843750,0.1181721687,33.38
173,6957.4208984375,0.1427179128,33.23
174,6964.9375000000,0.0962127149,33.44
175,6967.2797851562,0.1610035598,33.33
176,6948.8662109375,0.1295431852,33.32
177,6959.0717773438,0.1017951295,33.35
178,6955.4218750000,0.1066083163,33.30
179,6966.4750976562,0.1109130308,33.35
180,6956.0356445312,0.1501112133,33.83
181,6950.0400390625,0.1108304411,34.02
182,6954.1020507812,0.1060078070,34.04
183,6957.3974609375,0.1341755390,34.10
184,6947.4316406250,0.1054399610,34.03
185,6962.5610351562,0.0982502773,33.93
186,6959.4223632812,0.1018513888,33.95
187,6963.3486328125,0.1493589580,33.93
188,6949.5629882812,0.1274960935,33.49
189,6944.6181640625,0.1071221903,33.39
190,6957.6054687500,0.0961500481,33.37
191,6957.7070312500,0.1053943485,33.37
192,6953.9267578125,0.1228070259,33.37
193,6954.8666992188,0.0988585725,33.39
194,6951.8398437500,0.1145968661,33.22
195,6953.9511718750,0.0916882008,33.28
196,6957.3364257812,0.1101246998,33.30
197,6950.1582031250,0.1191841438,33.32
198,6945.0434570312,0.0817948133,33.89
199,6954.5834960938,0.0945336297,34.00
