epoch,vae_loss,disc_loss,time_consumed
200,6661.9721679688,0.3039558828,128.24
201,6689.5517578125,0.2049631625,128.18
202,6728.1835937500,0.2214955986,128.58
203,6721.9526367188,0.1892660856,127.19
204,6747.3203125000,0.2321577817,126.11
205,6792.1743164062,0.2380212545,127.54
206,6794.4570312500,0.1868075281,128.66
207,6771.4257812500,0.1495012790,127.61
208,6798.6093750000,0.2020403445,128.05
209,6825.5063476562,0.2260367572,128.15
210,6810.3964843750,0.1755365431,127.38
211,6805.5043945312,0.1578084975,127.05
212,6794.5454101562,0.1758565009,127.47
213,6746.2622070312,0.0746829435,127.64
214,6791.1474609375,0.1137344018,128.02
215,6824.3413085938,0.1540280432,128.47
216,6831.6362304688,0.1586083174,127.59
217,6833.9536132812,0.1735104322,128.61
218,6850.0400390625,0.1678984314,127.29
219,6839.5175781250,0.1261122376,127.27
220,6846.6967773438,0.1549990475,126.38
221,6837.8081054688,0.1540296972,127.53
222,6846.5322265625,0.1139729917,127.36
223,6855.4257812500,0.1172518730,127.25
224,6830.7202148438,0.1001762450,127.63
225,6529.0229492188,0.1379154325,127.44
226,6528.3027343750,0.1155507416,127.60
227,6527.2377929688,0.1432195157,127.59
228,6543.1494140625,0.1245773807,126.46
229,6576.5268554688,0.1786277294,128.36
230,6541.1577148438,0.1440765560,127.60
231,6547.7319335938,0.1527329683,126.90
232,6508.9018554688,0.0735950470,127.56
233,6581.1699218750,0.1591661572,127.11
234,6573.8774414062,0.1407898962,127.18
235,6585.8325195312,0.1379892230,127.90
236,6557.7451171875,0.1239869893,127.61
237,6538.3002929688,0.0979960188,127.37
238,6578.8188476562,0.1354842335,128.01
239,6513.4780273438,0.0705966130,127.69
240,6566.0478515625,0.1140008569,128.12
241,6553.2993164062,0.1077810675,126.94
242,6508.0756835938,0.0717527866,127.08
243,6548.7475585938,0.1243379265,127.96
244,6561.8320312500,0.1020217910,127.06
245,6548.5932617188,0.0842437074,128.17
246,6529.1113281250,0.0811298862,128.12
247,6554.3759765625,0.1164119095,127.84
248,6575.2036132812,0.1272700429,128.69
249,6570.5112304688,0.1224337742,127.35
250,6260.5512695312,0.1205619276,127.59
251,6226.4277343750,0.0874039680,126.16
