epoch,vae_loss,disc_loss,val_accs,time_consumed
100,6591.6757812500,0.7314934731,1.00,43.70
101,6650.7275390625,0.4096334875,1.00,42.88
102,6694.8608398438,0.3368493021,1.00,42.81
103,6688.0693359375,0.5126234293,1.00,42.96
104,6701.4731445312,0.3138141334,1.00,42.89
105,6732.2827148438,0.3681441844,1.00,42.86
106,6703.8696289062,0.4182190001,1.00,42.99
107,6740.9702148438,0.4772810340,1.00,42.92
108,6742.7714843750,0.5162762403,1.00,42.98
109,6774.3315429688,0.3713820875,1.00,42.98
110,6797.4599609375,0.4406937063,0.69,43.00
111,6774.0219726562,0.2454729378,1.00,42.85
112,6786.3496093750,0.3269204497,1.00,42.86
113,6765.3510742188,0.2990727723,1.00,43.14
114,6790.7880859375,0.2994167805,1.00,42.71
115,6759.2705078125,0.2692041695,1.00,42.96
116,6758.6757812500,0.1865950823,1.00,42.87
117,6796.5463867188,0.3402625322,1.00,42.81
118,6813.5205078125,0.3819817007,1.00,42.97
119,6804.3139648438,0.3415329158,1.00,42.93
120,6821.0341796875,0.2854770422,1.00,43.12
121,6780.1201171875,0.2270352393,1.00,42.79
122,6818.1323242188,0.2855199277,0.35,42.87
123,6836.0361328125,0.3394128978,1.00,43.06
124,6827.5239257812,0.2999321818,0.99,42.83
125,6855.7119140625,0.3714291751,1.00,42.84
126,6767.4790039062,0.1565062553,1.00,42.82
127,6823.1210937500,0.2716175318,0.48,42.83
128,6812.0874023438,0.2319165021,1.00,42.83
129,6863.5751953125,0.3136180639,1.00,43.21
130,6864.3149414062,0.3606492281,1.00,43.02
131,6867.1743164062,0.3526689410,1.00,42.79
132,6852.0170898438,0.2398198694,1.00,42.67
133,6861.4790039062,0.3237215579,1.00,42.83
134,6860.9765625000,0.3035171032,0.57,42.67
135,6816.3945312500,0.2393753082,1.00,42.86
136,6870.7109375000,0.2757007778,1.00,42.78
137,6876.1684570312,0.2682123780,1.00,42.87
138,6875.5249023438,0.3030497730,1.00,42.89
139,6876.8437500000,0.3175034523,1.00,42.79
140,6893.1582031250,0.2671124637,1.00,42.91
141,6890.6489257812,0.2456203103,1.00,43.09
142,6879.4907226562,0.3031790257,0.98,42.71
143,6898.4946289062,0.3010416627,1.00,42.83
144,6860.6665039062,0.2582917809,1.00,42.93
145,6899.0097656250,0.2854435146,1.00,42.78
146,6871.2768554688,0.2826339602,1.00,42.89
147,6884.2739257812,0.1934805363,1.00,43.08
148,6914.9868164062,0.2567334473,1.00,42.88
149,6858.8295898438,0.2452670932,1.00,42.93
150,6913.7739257812,0.2713603377,1.00,42.90
151,6914.2597656250,0.2750588953,1.00,42.81
152,6912.1450195312,0.2651752532,0.08,42.92
153,6912.2587890625,0.2211924493,0.85,43.05
154,6928.4453125000,0.2613416314,1.00,42.95
155,6901.9409179688,0.2759690881,0.95,42.95
156,6909.9472656250,0.2782109380,1.00,42.72
157,6922.6655273438,0.2918731272,1.00,42.87
158,6920.6455078125,0.2079986483,1.00,42.96
159,6930.1259765625,0.2679953277,0.55,42.94
160,6951.6352539062,0.2804301083,1.00,43.05
161,6915.3237304688,0.2255059928,0.99,42.99
162,6924.2109375000,0.2938828468,1.00,42.91
163,6914.8364257812,0.2225393206,1.00,42.86
164,6942.4399414062,0.2978503108,0.14,42.93
165,6939.7636718750,0.2184852660,1.00,42.99
166,6946.6572265625,0.2946064472,1.00,43.12
167,6919.0141601562,0.1833931357,0.39,42.91
168,6948.8706054688,0.2757627666,1.00,42.97
169,6950.7119140625,0.2291433811,1.00,42.93
170,6895.1791992188,0.2044801265,0.98,42.79
171,6932.9838867188,0.1950090379,1.00,42.66
172,6937.2280273438,0.2094063014,0.99,42.94
173,6949.6826171875,0.2432638109,1.00,42.77
174,6897.5356445312,0.1981446743,1.00,42.63
175,6938.0478515625,0.1975381374,1.00,42.87
176,6942.5786132812,0.2075654417,1.00,42.86
177,6938.8115234375,0.1975228190,1.00,42.99
178,6922.5981445312,0.2187281847,1.00,42.96
179,6926.0205078125,0.2042010128,0.79,42.76
180,6898.3554687500,0.2144080102,0.99,42.80
181,6920.0610351562,0.2357624471,1.00,42.85
182,6947.1562500000,0.2625253797,1.00,42.83
183,6910.3520507812,0.1000069082,1.00,42.90
184,6943.4160156250,0.1940612197,1.00,43.07
185,6941.9340820312,0.1971507668,1.00,42.91
186,6947.2153320312,0.2161137760,1.00,42.97
187,6906.2788085938,0.2069038600,1.00,42.75
188,6913.4267578125,0.1228889152,1.00,42.80
189,6912.7666015625,0.1447793245,1.00,42.70
190,6920.4887695312,0.1427216232,1.00,42.71
191,6949.9794921875,0.1967623085,1.00,42.89
192,6934.5878906250,0.1687644422,1.00,42.82
193,6911.8232421875,0.1199808493,0.88,42.90
194,6883.3549804688,0.2388855517,1.00,42.85
195,6969.2519531250,0.2030280530,1.00,42.87
196,6931.4936523438,0.1657009572,0.42,42.83
197,6942.1621093750,0.1359015852,1.00,42.86
198,6914.0849609375,0.1619879305,1.00,42.92
199,6947.2382812500,0.1224163026,1.00,42.86
