epoch,vae_loss,disc_loss,time_consumed
100,6668.8408203125,0.4390208721,43.50
101,6763.4516601562,0.4938039780,43.32
102,6762.5239257812,0.4493778944,43.01
103,6731.2612304688,0.2096664608,43.10
104,6774.1787109375,0.3539658785,43.19
105,6747.6176757812,0.2167822421,43.57
106,6786.5229492188,0.3016934395,42.87
107,6729.5942382812,0.1945495307,42.25
108,6767.8784179688,0.2220566124,41.95
109,6749.7543945312,0.2509734631,41.93
110,6783.1943359375,0.3133318722,41.84
111,6781.8525390625,0.2801194787,41.95
112,6795.3090820312,0.2778993547,42.18
113,6817.5019531250,0.3904596567,42.00
114,6812.4516601562,0.2529148757,43.21
115,6846.5493164062,0.3125664890,42.78
116,6846.0307617188,0.3071918786,42.95
117,6872.2695312500,0.3198518455,42.97
118,6841.0356445312,0.2812136710,42.91
119,6829.2456054688,0.3231312931,43.04
120,6854.7084960938,0.2935189605,41.98
121,6856.9155273438,0.2456793934,42.25
122,6838.4091796875,0.2673426569,42.28
123,6826.3696289062,0.2459809780,41.85
124,6869.0932617188,0.2583290935,41.97
125,6875.0249023438,0.2959581316,41.69
126,6874.8261718750,0.2826521099,42.26
127,6894.0688476562,0.3212627769,42.15
128,6883.6362304688,0.2658601403,42.69
129,6869.6342773438,0.2390890270,42.70
130,6896.4887695312,0.2337022722,43.21
131,6894.2187500000,0.2847691476,43.10
132,6889.2084960938,0.2912302017,43.03
133,6846.0014648438,0.1458028108,43.06
134,6881.0722656250,0.2404671609,43.26
135,6845.7851562500,0.1679825187,42.48
136,6912.8349609375,0.2114703804,42.04
137,6843.8588867188,0.2401485294,42.46
138,6871.2700195312,0.1688867062,41.97
139,6889.8388671875,0.2294466197,42.00
140,6863.8012695312,0.1921512187,42.17
141,6874.5395507812,0.2027750313,42.13
142,6876.6372070312,0.2065620571,42.76
143,6855.8461914062,0.1793324500,43.06
144,6894.0131835938,0.1768341362,42.83
145,6884.1210937500,0.1920956969,42.86
146,6847.6679687500,0.1610556990,42.97
147,6895.3959960938,0.2034057975,42.69
148,6868.5493164062,0.1831849515,41.72
149,6885.7871093750,0.1835175753,42.09
150,6837.6967773438,0.1053674594,41.96
151,6903.0229492188,0.2054492980,42.00
152,6859.4692382812,0.1858197004,42.18
153,6837.2861328125,0.0999635532,41.99
154,6869.6889648438,0.1122363880,42.08
155,6883.5434570312,0.1715753824,42.17
156,6861.0991210938,0.1295188963,42.42
157,6862.6240234375,0.0192274135,43.10
158,6892.4008789062,0.2241854966,43.16
159,6914.6313476562,0.1743435562,43.24
160,6903.9775390625,0.2256283462,42.88
161,6858.9907226562,0.1569452286,43.07
162,6885.2919921875,0.1630932540,42.19
163,6886.1074218750,0.1448612511,42.39
164,6896.2163085938,0.1670722365,42.21
165,6902.8393554688,0.1699130386,42.04
166,6921.8940429688,0.1939470321,42.09
167,6858.9394531250,0.2163542807,41.91
168,6850.4721679688,0.1056063175,42.20
169,6862.9121093750,0.1583228558,41.77
170,6904.2192382812,0.1450106353,42.40
171,6920.8291015625,0.1612260342,42.94
172,6897.1210937500,0.1081609428,43.05
173,6924.7788085938,0.2387352586,42.93
174,6859.1562500000,0.1086939573,43.16
175,6914.1416015625,0.1610945463,43.35
176,6907.6074218750,0.1272764951,43.60
177,6935.8818359375,0.1697374135,42.35
178,6881.8491210938,0.2292362005,41.79
179,6911.4062500000,0.1534602791,42.29
180,6920.5307617188,0.1484816372,41.91
181,6915.6474609375,0.1977886856,42.31
182,6838.6147460938,0.0665861592,42.10
183,6850.6611328125,0.1356893480,42.00
184,6878.3520507812,0.1031902730,42.20
185,6905.7080078125,0.1480435729,43.49
186,6914.4516601562,0.1076820642,43.25
187,6921.1494140625,0.2038449496,42.78
188,6901.0678710938,0.2341433018,43.38
189,6895.4897460938,0.0932347775,42.98
190,6930.9326171875,0.1656189412,42.77
191,6894.5898437500,0.1810687780,42.13
192,6911.3183593750,0.1410157084,41.95
193,6908.9956054688,0.1247600392,42.12
194,6945.5136718750,0.1594844908,42.41
195,6926.6176757812,0.1801098585,42.07
196,6919.8740234375,0.1422010213,42.01
197,6919.8793945312,0.1557811350,41.92
198,6875.3256835938,0.0630129948,42.27
199,6927.1611328125,0.1182181463,42.94
