epoch,vae_loss,disc_loss,time_consumed
0,7305.1279296875,0.3423895538,50.33
1,6948.6474609375,0.5226600170,45.42
2,6882.7856445312,0.2652734816,45.26
3,6838.7729492188,0.1592676193,45.57
4,6878.2915039062,0.3269093931,45.46
5,6834.2392578125,0.1401608139,45.31
6,6878.8403320312,0.2325797975,45.49
7,6868.9599609375,0.2204188406,45.31
8,6883.2480468750,0.2432475090,45.44
9,6875.9638671875,0.1542852074,45.54
10,6891.0068359375,0.2858581245,45.46
11,6845.6181640625,0.1184075102,45.08
12,6876.4663085938,0.2225715667,45.02
13,6890.5727539062,0.2408475578,44.97
14,6854.0341796875,0.1607684344,45.07
15,6852.0029296875,0.1715508401,45.55
16,6850.8261718750,0.2636310756,45.45
17,6814.7143554688,0.1342458278,45.54
18,6830.1904296875,0.1219456419,45.38
19,6867.6508789062,0.1743935496,45.29
20,6832.3388671875,0.1206709668,45.29
21,6811.8325195312,0.0274446085,45.15
22,6819.7128906250,0.1162941977,45.54
23,6847.6718750000,0.1715570539,45.39
24,6843.8520507812,0.1829054505,45.14
25,6524.2475585938,0.2250104696,45.23
26,6487.6518554688,0.0688866973,45.14
27,6524.5278320312,0.1667308956,45.21
28,6498.5512695312,0.1403320581,45.37
29,6435.8759765625,0.1405460536,45.36
30,6474.6889648438,0.0976999328,45.39
31,6521.3530273438,0.2302937508,45.45
32,6516.3090820312,0.1431022584,45.26
33,6519.4692382812,0.2227256745,44.93
34,6503.3916015625,0.2035609633,45.00
35,6509.7138671875,0.2517713904,45.22
36,6509.6538085938,0.2530433834,45.26
37,6432.7666015625,0.0345879234,45.35
38,6485.7939453125,0.1296573728,45.19
39,6464.9765625000,0.1609123945,45.30
40,6438.9121093750,0.0055551366,44.97
41,6434.5014648438,0.0004409810,45.26
42,6484.8945312500,0.0441540368,45.31
43,6495.0668945312,0.1698642522,45.46
44,6488.5908203125,0.1316368282,45.27
45,6450.3056640625,0.1725929826,45.34
46,6484.0078125000,0.1538381875,45.30
47,6465.9018554688,0.1005211249,45.29
48,6471.6918945312,0.1309539825,45.17
49,6512.3769531250,0.3594351709,44.90
50,6190.8652343750,0.3793535531,45.13
51,6186.1508789062,0.2728960812,45.10
52,6199.8081054688,0.3387387693,45.10
53,6218.8691406250,0.3546747863,45.01
54,6197.4047851562,0.3041302860,45.12
55,6196.6440429688,0.1911907792,45.42
56,6201.0312500000,0.2961440980,45.33
57,6181.1591796875,0.2024702728,45.14
58,6182.8974609375,0.1920044422,45.27
59,6207.1313476562,0.2719587684,45.32
60,6217.8881835938,0.2972636819,45.04
61,6208.0288085938,0.3426045179,44.94
62,6154.3442382812,0.0672840178,45.16
