epoch,vae_loss,disc_loss,time_consumed
0,5825.9023437500,0.6918135881,35.90
1,5551.6274414062,0.1726519763,33.95
2,5514.1665039062,0.3135704100,33.85
3,5489.9565429688,0.3817842305,33.81
4,5547.2128906250,0.3600354791,33.84
5,5520.5566406250,0.2402470559,34.02
6,5496.5527343750,0.0240674149,34.10
7,5491.4633789062,0.0145291332,34.03
8,5524.4667968750,0.3818379939,34.05
9,5493.4321289062,0.1976986825,34.36
10,5497.8637695312,0.1726439446,34.07
11,5486.1323242188,0.0927533433,33.87
12,5471.6503906250,0.1992654800,34.13
13,5503.9174804688,0.1383408457,34.08
14,5535.7871093750,0.3146680593,34.03
15,5510.5507812500,0.1745317429,33.90
16,5544.9340820312,0.2902565598,33.66
17,5512.9711914062,0.3569297194,33.83
18,5476.0424804688,0.1457121968,33.86
19,5551.1523437500,0.3161358237,33.97
20,5538.5424804688,0.3579401374,33.85
21,5543.3300781250,0.2782769799,34.03
22,5535.8632812500,0.2846784890,34.03
23,5539.9956054688,0.2243303359,33.78
24,5545.8168945312,0.2536585629,34.21
25,5557.7109375000,0.3948074281,33.91
26,5547.8666992188,0.3512055576,34.07
27,5489.7602539062,0.1401786953,33.80
28,5503.2158203125,0.1323719323,33.98
29,5531.6943359375,0.2541338801,34.02
30,5545.7236328125,0.2651439011,34.06
31,5514.0815429688,0.1786011010,33.82
32,5523.4750976562,0.1491264254,33.93
33,5511.8774414062,0.1567250341,34.01
34,5536.5834960938,0.3061925769,33.85
35,5523.2944335938,0.3336699009,33.93
36,5476.1645507812,0.2904602885,34.24
37,5522.5268554688,0.2936718762,33.81
38,5550.7363281250,0.2784390450,33.93
39,5570.0444335938,0.4034991860,33.75
40,5564.6723632812,0.3706996441,34.02
41,5545.4555664062,0.2498574108,33.91
42,5548.4741210938,0.2415287942,34.05
43,5559.9638671875,0.3462565541,33.98
44,5508.2260742188,0.1610369682,33.88
45,5550.6093750000,0.2471711934,33.84
46,5531.3344726562,0.2354864329,34.13
47,5562.8857421875,0.4437013268,33.99
48,5501.0996093750,0.0844762698,34.00
49,5541.4296875000,0.2128266543,34.28
50,5540.2802734375,0.2617910802,33.86
51,5535.5776367188,0.3184201419,34.07
52,5515.9902343750,0.1803752035,33.72
53,5540.6152343750,0.3030925393,33.82
54,5526.1064453125,0.2494265288,33.84
55,5539.1821289062,0.2926267982,34.00
56,5542.3520507812,0.3142510951,34.28
57,5540.0000000000,0.2774895430,34.01
58,5540.1171875000,0.2476909161,34.00
59,5544.2075195312,0.3188593984,33.85
60,5550.8398437500,0.2899285257,33.92
61,5537.4423828125,0.2275205851,33.90
62,5525.7519531250,0.2351777107,33.85
63,5525.8193359375,0.2806850076,33.98
64,5535.1811523438,0.2680726945,33.58
65,5532.3071289062,0.2260469198,33.77
66,5531.3466796875,0.2617198825,33.71
67,5512.3154296875,0.1979976892,33.80
68,5536.5224609375,0.3289490342,33.89
69,5536.5019531250,0.2372182459,33.84
