epoch,vae_loss,disc_loss,time_consumed
0,7162.5073242188,0.3256934881,35.89
1,6824.0112304688,0.0640577003,33.52
2,6748.2949218750,0.2508124709,33.71
3,6722.6191406250,0.0007891326,33.54
4,6703.2211914062,0.1134647131,33.52
5,6689.9091796875,0.0019796190,33.54
6,6678.8090820312,0.0003402250,33.78
7,6672.7841796875,0.0002038121,33.48
8,6667.6118164062,0.0001242033,33.69
9,6657.8564453125,0.0000733333,34.02
10,6653.7954101562,0.0000577395,33.84
11,6650.2241210938,0.0000415359,33.73
12,6644.1445312500,0.0000312964,34.08
13,6641.7915039062,0.0000246062,33.58
14,6637.6860351562,0.0000294328,33.51
15,6634.2905273438,0.0000209933,33.87
16,6629.5249023438,0.0000136275,33.53
17,6627.9072265625,0.0000122036,33.94
18,6625.4794921875,0.0000081948,33.84
19,6622.6015625000,0.0000076151,33.58
20,6620.8510742188,0.0000062080,34.03
21,6620.3823242188,0.0000048103,33.88
22,6616.3989257812,0.0000041607,34.00
23,6613.7148437500,0.0000028284,34.02
24,6612.2534179688,0.0000034896,33.69
25,6611.1767578125,0.0000029579,34.12
26,6603.7563476562,0.4248719513,34.07
27,6599.1508789062,0.0008744633,33.78
28,6599.9755859375,0.2355950922,34.04
29,6596.1210937500,0.0101570794,33.92
30,6597.7675781250,0.0000792804,34.04
31,6597.2382812500,0.0000547034,33.64
32,6597.8378906250,0.0000399322,33.73
33,6597.8637695312,0.0000393765,33.88
34,6600.5991210938,0.0002237348,33.96
35,6589.7255859375,0.2227622569,33.96
36,6585.4843750000,0.0003718286,33.64
37,6585.3442382812,0.0001476559,33.53
38,6586.4848632812,0.0000959499,33.68
39,6584.7338867188,0.0000582644,33.49
40,6584.7534179688,0.0000540510,33.71
41,6584.4956054688,0.0000564304,33.69
42,6588.5917968750,0.0000800095,33.71
43,6580.5458984375,0.1897867471,33.55
44,6577.4692382812,0.0006880143,33.60
45,6576.8491210938,0.0002221747,33.53
46,6577.2768554688,0.0001077815,33.62
47,6579.6113281250,0.0000708249,33.87
48,6582.8129882812,0.0001569069,33.74
49,6582.4956054688,0.0330387428,33.98
50,6572.3422851562,0.0000712635,33.70
51,6573.4331054688,0.0000402641,33.95
52,6572.5537109375,0.0000262042,33.78
53,6572.8471679688,0.0000191280,33.56
54,6572.7304687500,0.0000149444,33.92
55,6570.0483398438,0.0000111995,33.95
