epoch,vae_loss,disc_loss,time_consumed
50,6629.4047851562,0.8092781901,34.36
51,6699.2636718750,0.4670913815,33.61
52,6656.7509765625,0.3543945849,33.53
53,6641.8784179688,0.2579376996,33.50
54,6690.0732421875,0.6366245151,33.51
55,6667.3583984375,0.1842536181,33.68
56,6638.3027343750,0.0025966212,33.49
57,6646.7612304688,0.0012497769,33.57
58,6660.1782226562,0.1521289796,33.58
59,6648.2832031250,0.6450024247,33.47
60,6646.0922851562,0.1040437743,33.63
61,6672.1821289062,0.0803571120,33.54
62,6688.6777343750,0.0398582034,33.58
63,6670.7138671875,0.0004978015,33.52
64,6682.4804687500,0.1042812020,33.63
65,6666.5146484375,0.1438162327,33.39
66,6650.3823242188,0.0014084228,33.56
67,6689.9506835938,0.2422456592,33.50
68,6699.7392578125,0.2578579783,33.50
69,6693.8286132812,0.1428567022,33.64
70,6727.7661132812,0.3241906166,33.40
71,6680.9936523438,0.1737249047,33.59
72,6695.1250000000,0.0521956123,33.37
73,6727.3256835938,0.3051536679,33.41
74,6768.8676757812,0.3553717136,33.52
75,6728.6557617188,0.2758166194,33.42
76,6768.5175781250,0.2466659248,33.67
77,6732.5712890625,0.2448614389,33.46
78,6705.9326171875,0.1966882199,33.46
79,6659.9560546875,0.0014147172,33.61
80,6694.0991210938,0.0426008590,33.49
81,6695.3476562500,0.0005438876,33.60
82,6727.1850585938,0.0573624633,33.83
83,6713.5312500000,0.1651108861,33.43
84,6700.3510742188,0.4662359357,33.50
85,6777.1254882812,0.2839938700,33.53
86,6766.0874023438,0.3661635220,33.57
87,6759.5688476562,0.2238795906,33.53
88,6768.6425781250,0.2817168534,33.45
89,6801.7158203125,0.3707655668,33.50
90,6797.8520507812,0.2391450405,33.53
91,6800.6538085938,0.2785626948,33.57
92,6772.2543945312,0.1427243501,33.64
93,6761.9296875000,0.0727249309,33.36
94,6721.8872070312,0.0988142788,33.58
95,6777.6000976562,0.3563650548,33.50
96,6776.6230468750,0.0197573621,33.64
97,6780.8896484375,0.2847298980,33.68
98,6768.3676757812,0.2217388749,33.65
99,6795.3837890625,0.2380298525,33.60
100,6799.0009765625,0.2322760075,33.52
101,6816.7241210938,0.3370933235,33.48
102,6797.7163085938,0.2595755756,33.43
103,6746.1103515625,0.2905657589,33.55
104,6737.9877929688,0.1007270589,33.41
105,6794.8833007812,0.2254256010,33.44
106,6810.9565429688,0.3324873149,33.68
107,6800.6831054688,0.1955265105,33.40
108,6820.0258789062,0.3364443183,33.67
109,6766.9062500000,0.1764384657,33.63
110,6803.3803710938,0.2665899396,33.34
111,6799.5527343750,0.2419274002,33.49
112,6747.6479492188,0.1433438063,33.47
113,6766.5073242188,0.1568411142,33.45
114,6779.3408203125,0.2645755708,33.78
115,6770.8613281250,0.1516775936,33.54
116,6783.7963867188,0.2134989202,33.55
117,6806.7949218750,0.2623349130,33.44
118,6809.6591796875,0.2403281033,33.35
119,6746.9306640625,0.1784545779,33.28
120,6754.1796875000,0.1024742424,33.29
121,6759.2509765625,0.0606750287,33.55
122,6790.5268554688,0.2211772203,33.44
123,6744.9311523438,0.2550976574,33.72
124,6756.3779296875,0.0235841684,33.57
125,6774.0371093750,0.3030472398,33.56
126,6778.4306640625,0.1422365755,33.23
127,6784.7119140625,0.2068330348,33.49
128,6791.7158203125,0.1957709640,33.42
129,6808.4975585938,0.2542753518,33.42
130,6759.2128906250,0.0013754109,33.74
131,6797.1826171875,0.1472048908,33.57
132,6826.4946289062,0.3262310028,33.55
133,6801.0058593750,0.1862707138,33.47
134,6724.8964843750,0.1986675113,33.43
135,6795.3852539062,0.2828834355,33.68
136,6759.3725585938,0.0862865821,32.98
137,6716.7749023438,0.1824641973,33.31
138,6676.0258789062,0.0005078365,33.36
139,6719.0483398438,0.0409378633,33.45
140,6731.3969726562,0.0674113631,33.42
141,6748.8535156250,0.0732491910,33.63
142,6761.9062500000,0.0924009085,33.42
143,6718.8764648438,0.1218413189,33.45
144,6752.7998046875,0.1243481934,33.52
145,6750.0029296875,0.1307567060,33.69
146,6759.5722656250,0.1872391850,33.54
147,6807.9042968750,0.2692901194,33.65
148,6799.4438476562,0.2502847612,33.48
