epoch,vae_loss,disc_loss,time_consumed
100,6640.5600585938,0.3994709253,38.76
101,6716.6508789062,0.3102891147,38.64
102,6736.4750976562,0.2653320730,37.92
103,6754.2670898438,0.3006434441,37.81
104,6765.2465820312,0.2557915449,37.78
105,6770.0053710938,0.2572524846,37.85
106,6788.8393554688,0.2811105549,37.85
107,6778.8413085938,0.2708850503,37.85
108,6792.2338867188,0.3100229800,37.75
109,6782.6718750000,0.2332368344,37.83
110,6779.1118164062,0.2640930116,37.73
111,6802.4189453125,0.2811388969,37.87
112,6789.0629882812,0.2596605718,37.83
113,6811.4077148438,0.2731088102,37.86
114,6800.5043945312,0.2647469938,37.75
115,6820.1992187500,0.2946254611,37.88
116,6806.6621093750,0.2694343328,37.84
117,6802.5708007812,0.2727413177,37.79
118,6814.8227539062,0.2862652838,37.82
119,6818.6303710938,0.2674585879,37.77
120,6828.0556640625,0.3090935349,37.79
121,6816.8510742188,0.2596391439,37.83
122,6815.0229492188,0.3310464323,37.79
123,6785.6884765625,0.2438331842,37.83
124,6818.3417968750,0.2888413072,37.78
125,6824.9326171875,0.2891413867,37.78
126,6821.0961914062,0.2743875086,37.75
127,6796.3349609375,0.2848102450,37.99
128,6810.6445312500,0.3042976260,38.54
129,6820.1640625000,0.2820663452,38.55
130,6802.2758789062,0.2875177562,38.62
131,6808.2353515625,0.2726286054,38.54
132,6811.2734375000,0.3079796135,38.47
133,6829.6157226562,0.2964985669,38.65
134,6807.3906250000,0.2974027395,38.62
135,6824.1796875000,0.2903752327,38.20
136,6814.1103515625,0.3247925937,37.75
137,6815.8027343750,0.2902691364,37.70
138,6816.8359375000,0.2727550268,37.71
139,6806.8994140625,0.2906427383,37.72
140,6822.5966796875,0.3139672875,37.78
141,6807.0844726562,0.2960939705,37.70
142,6812.3286132812,0.3152466714,37.78
143,6806.4453125000,0.2712616622,38.20
144,6812.7299804688,0.2922067940,38.61
145,6804.8720703125,0.3214907348,38.54
146,6809.6479492188,0.2806213796,38.53
147,6815.1743164062,0.2933075428,38.48
148,6811.8784179688,0.3000704646,38.56
149,6808.7016601562,0.2951060534,38.29
150,6808.9155273438,0.3108821213,37.93
151,6812.1040039062,0.2502314150,37.74
152,6793.4506835938,0.2999852598,37.71
153,6804.9575195312,0.2444560826,37.69
154,6796.9418945312,0.2817104459,37.83
155,6799.8764648438,0.2760644853,37.82
156,6799.2646484375,0.3015063703,37.74
157,6807.4594726562,0.2770303488,37.63
158,6806.0424804688,0.2876893282,37.75
159,6799.9667968750,0.2577505410,38.45
160,6798.5703125000,0.2521056235,38.66
161,6807.9990234375,0.2601808310,38.52
162,6795.0307617188,0.2416600585,38.54
163,6802.4062500000,0.2655391693,38.48
164,6807.9838867188,0.2876591682,38.43
165,6805.3095703125,0.2796426713,38.59
166,6803.9624023438,0.2636617124,37.80
167,6802.0971679688,0.2856570184,37.68
168,6801.2573242188,0.2475368083,37.78
169,6812.6562500000,0.3040366471,37.72
170,6797.6801757812,0.2431181669,37.77
171,6804.2910156250,0.2233344764,37.79
172,6793.5908203125,0.2459144294,37.81
173,6801.6103515625,0.2408673912,37.82
174,6796.1362304688,0.2441657782,37.84
175,6801.8305664062,0.2276882082,38.48
176,6803.8417968750,0.2222297788,38.66
177,6797.8706054688,0.2609888613,38.69
178,6799.7099609375,0.2607199550,38.56
179,6797.9121093750,0.2167073339,38.67
180,6795.9599609375,0.2325171977,38.54
181,6796.4404296875,0.2654886246,37.78
182,6787.6381835938,0.2165255696,37.79
183,6792.8916015625,0.2423612773,37.85
184,6793.0498046875,0.2185907960,37.82
185,6795.1972656250,0.2233524770,37.81
186,6795.0517578125,0.2261035591,37.72
187,6794.2495117188,0.2136617303,37.81
188,6790.4340820312,0.1829311103,37.80
189,6794.5756835938,0.2281027585,37.78
190,6794.5815429688,0.2181414962,37.91
191,6797.6528320312,0.2267449051,38.62
192,6798.5195312500,0.2112398893,38.60
193,6790.6621093750,0.2099018097,38.57
194,6788.2299804688,0.2035174221,38.58
195,6784.5815429688,0.2070317268,38.43
196,6800.7700195312,0.2185277194,38.49
197,6788.4013671875,0.2257437706,38.43
198,6788.9331054688,0.1877566725,38.05
199,6794.5410156250,0.1861533225,37.78
